accession_id,is_expressed,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0013771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,28
MIMAT0014977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0014978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014979,0,1,0,0,1,0,0,1,0,0,1,1,2,1,0,2,4,0,0,0,1,1,2,1,0,4,0,0,1,0,0,2,4,1,1,3,2,0,1,2,0,0,1,0,0,1,0,1,3,0,1,0,2,2,6,1,2
MIMAT0014981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0014987,0,1,3,0,0,0,3,0,0,0,2,0,0,2,5,3,1,1,0,0,1,2,2,0,4,1,2,2,0,1,0,1,1,1,1,0,1,1,2,1,2,0,0,0,0,0,0,0,2,1,0,0,1,7,1,0,0
MIMAT0014988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014989,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014990,1,9,22,6,27,33,16,15,2,13,25,39,24,13,61,22,65,9,10,3,52,8,21,31,8,32,23,4,18,27,40,54,14,17,5,7,15,7,49,72,13,91,19,7,33,30,20,13,57,9,45,11,17,140,47,44,25
MIMAT0014991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014992,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0014994,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,3,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,1,2,0,0
MIMAT0014995,1,0,39,4,36,15,14,0,2,1,1,4,5,10,18,5,36,15,15,11,45,10,9,28,0,0,13,1,18,15,16,8,5,0,10,3,24,2,0,24,4,0,2,4,1,4,8,17,4,19,7,3,0,31,37,0,14
MIMAT0014996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
MIMAT0014997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0014998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0015002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015003,0,2,1,2,1,0,3,1,1,1,1,2,2,0,5,2,0,1,2,0,3,1,1,0,0,1,2,0,2,4,1,1,1,1,0,2,0,2,2,2,1,3,1,2,1,3,0,1,2,1,0,0,0,7,5,2,2
MIMAT0015004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015005,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MIMAT0015007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
MIMAT0015008,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
MIMAT0015009,0,0,1,0,0,0,1,3,0,0,0,0,1,1,3,1,0,0,2,0,3,1,1,0,0,0,1,0,0,3,0,1,1,1,0,4,0,3,8,1,0,0,0,0,2,0,0,1,2,2,0,0,2,1,3,1,0
MIMAT0015010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015012,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0015014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
MIMAT0015015,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
MIMAT0015016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIMAT0015018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015020,0,1,3,0,1,2,5,4,3,1,4,3,1,9,16,3,1,6,2,5,5,9,1,1,2,2,1,3,6,1,22,7,2,3,7,0,4,5,7,0,3,1,1,1,1,1,2,1,7,1,2,5,1,6,10,3,2
MIMAT0015021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
MIMAT0015022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0015023,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0
MIMAT0015024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,5,0,1,0,0,1,1,2,0,1,0,0,0
MIMAT0015028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1
MIMAT0015029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0015030,0,0,2,0,5,16,0,157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,3,0,4,1,0,0,1,0,0
MIMAT0015031,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
MIMAT0015032,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,4,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,1,3,2,1,0
MIMAT0015033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0015035,0,0,2,0,0,2,2,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,6,0,3,2,0,0,0,0,0,0,0,4,3,0,0,0,2,1,0,0,0,1,0,11,7,1,0
MIMAT0015036,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015038,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0015040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0015041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015045,1,2,2,3,29,11,8,6,5,10,13,3,7,13,14,4,7,6,5,2,14,17,6,5,4,9,0,11,3,3,6,4,2,7,8,7,6,4,19,16,2,9,1,4,13,4,3,4,23,8,3,5,0,32,6,6,8
MIMAT0015048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015050,1,2,21,50,22,29,20,9,9,9,2,11,8,13,8,6,142,28,10,6,17,13,8,28,19,13,52,3,5,1581,23,7,14,6,7,2,26,49,14,13,3,4,9,15,2,3,8,18,7,8,18,10,11,4,34,90,17
MIMAT0015051,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,1,0,0,0,3,1,1,1,1,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,0,2,6,1,1,1
MIMAT0015052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0015053,0,0,0,0,3,0,1,3,0,0,1,7,0,1,0,1,0,2,1,0,0,1,3,0,0,1,0,1,2,4,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,3,1,4,0,0,1,2
MIMAT0015054,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0015055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0015061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
MIMAT0015062,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
MIMAT0015063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015066,1,2,4,2,4,12,1,37,7,8,2,22,22,18,12,8,19,42,1,1,9,5,4,3,1,11,4,1,26,29,19,7,28,4,0,70,5,11,14,4,8,75,0,7,63,3,1,3,14,12,3,1,38,34,18,3,34
MIMAT0015069,0,0,7,0,2,3,0,0,0,0,1,1,0,1,1,0,4,3,0,0,1,0,1,1,0,0,0,1,0,3,1,11,0,0,0,0,0,0,1,2,0,6,1,0,0,1,0,0,1,0,0,2,2,3,1,9,3
MIMAT0015070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
MIMAT0015071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
MIMAT0015072,0,0,1,0,2,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,1,1,1,1
MIMAT0015073,0,0,3,5,0,3,0,1,0,1,0,0,1,1,0,1,6,1,0,0,0,1,2,1,0,2,1,0,3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,2,1,0,2,1,0,1,1,4
MIMAT0015075,0,1,2,0,0,1,1,0,0,1,0,1,1,0,2,1,0,3,1,0,1,1,3,0,1,3,2,0,1,1,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,1,0,1,1,0,0,1,3,0,4,7,1
MIMAT0015076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
MIMAT0015077,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0
MIMAT0015078,0,0,2,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0015081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MIMAT0015083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
MIMAT0015084,0,0,2,1,1,0,7,0,1,3,3,2,0,5,2,0,2,1,1,2,4,0,3,1,3,4,0,0,3,5,1,1,0,0,0,0,2,0,1,1,0,1,1,1,0,0,3,4,5,3,0,3,9,2,15,3,0
MIMAT0015085,1,1,18,1,1,12,3,9,1,0,15,27,48,8,6,19,10,12,10,1,15,8,11,3,11,1,5,15,46,6,9,25,3,5,0,7,5,1,5,13,1,68,0,5,162,11,13,0,57,5,9,2,58,51,11,17,9
MIMAT0015086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0015087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0015088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0015089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0015377,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
MIMAT0015378,1,8,46,13,7,43,10,358,30,47,17,109,112,131,221,51,88,294,12,8,37,12,27,39,13,173,68,6,380,129,118,38,363,48,3,287,26,91,53,62,30,490,7,34,317,4,7,14,109,61,18,10,209,421,338,34,227
MIMAT0016847,1,5,23,11,5,7,16,3,0,2,4,8,7,15,44,20,8,19,9,4,24,10,10,5,10,13,12,2,4,8,13,8,20,1,19,2,19,7,13,2,2,4,1,3,2,1,2,8,9,9,2,5,19,15,18,12,6
MIMAT0016853,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0016858,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
MIMAT0016884,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0016888,1,19,31,14,43,1,52,0,1,5,14,13,24,24,35,12,11,4,38,12,29,17,50,15,17,43,0,65,70,62,37,14,6,18,8,30,20,35,14,16,23,120,14,10,0,90,14,21,50,10,12,13,52,193,64,32,15
MIMAT0016895,1,25,117,60,134,154,75,52,51,52,73,107,64,129,118,214,78,120,147,67,553,153,245,70,114,195,46,67,309,99,82,58,153,103,81,83,123,127,100,157,47,140,55,35,97,21,63,183,79,222,30,63,87,477,362,189,199
MIMAT0016915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0016916,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
MIMAT0016925,1,6,12,4,3,2,13,10,1,0,16,5,6,7,15,11,7,11,10,2,1,3,8,12,4,9,3,30,8,13,7,4,6,0,1,14,8,3,5,7,6,12,1,3,12,1,2,3,14,10,2,6,9,25,6,5,13
MIMAT0017352,0,2,6,3,10,4,0,0,0,1,1,4,5,4,2,1,2,3,0,4,8,1,4,7,1,5,0,4,9,4,5,2,3,3,2,3,6,2,6,2,1,5,2,0,0,1,2,4,8,1,3,7,1,14,14,6,1
MIMAT0017392,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0017950,1,2,7,19,12,12,8,1,4,1,16,14,10,7,14,10,1,10,7,3,36,11,7,2,5,11,3,20,18,6,8,6,6,3,4,8,2,9,9,14,4,8,4,2,20,2,6,7,11,15,2,3,6,32,7,13,3
MIMAT0017981,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1,0
MIMAT0017982,1,0,16,7,4,11,5,3,1,8,5,4,14,15,11,9,14,38,8,4,19,8,13,11,5,21,12,4,5,54,16,6,4,6,5,4,15,2,11,27,3,6,3,4,3,5,3,7,1,3,0,23,27,7,12,37,11
MIMAT0017983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MIMAT0017984,0,0,0,2,6,0,1,1,0,0,1,0,0,4,0,0,0,2,0,5,0,4,1,2,0,0,2,2,0,0,6,0,0,0,2,0,0,1,2,0,0,1,0,2,0,4,1,2,2,0,0,0,1,0,2,4,2
MIMAT0017985,1,30,640,439,306,236,296,371,245,88,24,188,139,401,253,201,477,424,179,247,329,556,255,610,147,267,256,22,204,279,446,270,150,88,310,30,444,93,223,133,67,35,93,240,19,164,163,474,34,187,132,218,269,234,187,919,353
MIMAT0017986,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,1,60,0,0,0,5,11,2,2,2,0,0,1,1,3,1,0
MIMAT0017987,0,0,2,9,2,4,6,4,1,2,1,2,1,3,3,2,0,0,9,1,6,6,8,1,2,2,5,1,0,0,6,3,7,0,2,1,4,1,5,4,1,0,2,0,0,3,2,2,2,0,2,0,2,1,4,2,3
