accession_id,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0017392,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MIMAT0017950,4,12,7,6,1,18,1,7,3,7,16,11,2,9,2,8,8,2,2,14,32,10,11,20,12,2,6,10,1,6,8,4,14,11,5,3,13,2,14,3,7,8,7,4,7,36,9,6,4,3,6,19,15,20,3,10
MIMAT0017981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
MIMAT0017982,1,4,7,3,8,5,14,13,12,12,5,8,0,2,11,6,5,4,15,4,7,14,21,4,11,0,6,38,3,4,16,5,27,1,5,4,37,5,11,11,8,4,16,3,15,19,11,27,3,6,54,7,3,3,23,9
MIMAT0017983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0017984,0,6,2,1,0,0,0,1,2,2,1,4,0,1,2,1,1,2,0,0,0,0,0,2,0,0,0,2,1,0,6,2,0,2,0,5,4,4,0,2,0,0,0,0,4,0,2,1,0,0,0,2,0,0,0,0
MIMAT0017985,245,306,474,163,88,204,477,255,256,187,24,556,132,93,610,35,296,240,444,188,234,139,267,22,236,30,270,424,371,150,446,310,133,34,147,247,919,164,253,353,179,30,640,93,401,329,223,269,67,88,279,439,187,19,218,201
MIMAT0017986,0,0,2,11,0,0,1,0,0,3,1,0,0,1,0,60,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,3,0,2,0,4,1,5,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,0,0,0
MIMAT0017987,1,2,2,2,2,0,0,8,5,4,1,6,2,1,1,0,6,0,4,2,1,1,2,1,4,0,3,0,4,7,6,2,4,2,2,1,2,3,3,3,9,1,2,2,3,6,5,2,1,0,0,9,0,0,0,2
MIMAT0017988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MIMAT0017990,10,7,31,17,11,44,41,55,16,24,35,12,13,43,2,20,49,9,62,24,51,15,18,24,13,5,75,49,35,19,33,3,20,16,10,8,83,12,51,49,38,16,45,24,92,26,71,24,8,12,12,59,23,33,21,19
MIMAT0017991,1,1,2,2,0,1,2,4,0,2,2,1,0,1,2,1,2,1,2,0,6,2,0,1,0,2,0,2,0,0,0,0,1,1,0,0,3,1,0,4,0,5,0,1,2,1,4,1,0,0,3,0,1,2,2,0
MIMAT0017992,2,18,3,4,2,0,1,19,10,2,3,27,5,0,18,1,4,2,5,1,35,0,4,10,39,2,0,3,0,3,12,4,6,3,3,16,42,2,2,11,3,4,58,10,12,42,10,12,8,1,24,8,2,1,8,4
MIMAT0017993,0,9,0,4,0,2,0,5,2,2,1,5,1,1,3,2,0,1,0,0,9,0,3,2,9,10,3,1,0,2,4,2,2,0,2,1,15,1,2,4,2,0,17,3,7,8,1,3,2,0,5,2,1,1,3,4
MIMAT0017994,2,6,1,2,2,1,14,5,8,173,3,12,1,3,6,13,9,0,9,3,3,2,6,2,5,0,9,6,1,3,15,3,7,0,0,2,3,4,6,6,1,10,3,3,15,6,8,6,3,4,4,4,5,0,3,11
MIMAT0017995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0017996,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIMAT0017997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0017998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0017999,0,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,0,3,0,0,0,1,0,1,1,1,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
MIMAT0018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0018001,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,3,1,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MIMAT0018004,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MIMAT0018006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MIMAT0018065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018070,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018071,0,3,1,2,0,3,5,10,0,4,1,4,1,0,2,4,5,5,2,2,3,0,2,1,3,0,1,1,1,3,6,1,0,0,4,1,3,1,2,3,2,8,4,2,3,6,1,5,1,1,4,3,3,7,6,3
MIMAT0018072,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
MIMAT0018073,6,12,23,21,11,27,16,17,19,27,4,23,4,8,26,8,26,7,21,16,42,15,20,5,4,2,18,18,61,10,32,27,12,10,10,12,28,17,29,16,13,2,38,14,29,19,15,23,16,7,23,33,5,1,13,16
MIMAT0018074,0,0,1,0,0,1,1,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,5,0,1,0,2
MIMAT0018075,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0
MIMAT0018076,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MIMAT0018081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIMAT0018083,1,1,2,1,0,1,1,4,0,1,3,1,8,1,0,0,2,0,0,2,4,0,0,0,4,0,0,1,0,1,2,0,0,13,1,1,0,5,2,0,3,0,2,0,1,2,2,2,5,1,5,0,4,0,0,4
MIMAT0018086,0,4,0,2,0,3,1,3,2,2,2,1,0,0,0,0,4,0,2,3,9,2,0,0,10,1,0,3,3,2,8,1,4,4,1,2,1,4,5,5,1,0,3,1,3,5,1,1,1,3,0,9,3,3,0,1
MIMAT0018089,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIMAT0018090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0018098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018101,10,31,15,11,1,21,93,93,43,47,9,211,13,7,8,35,16,3,24,72,32,52,25,27,20,2,23,88,14,38,152,9,47,22,12,8,180,30,76,55,59,2,32,19,36,87,155,118,11,67,44,30,3,31,10,44
MIMAT0018102,0,0,0,0,3,2,2,1,4,18,1,2,1,4,6,2,0,2,2,4,0,3,2,0,5,0,6,0,1,1,4,0,1,0,2,0,2,0,8,1,1,0,1,0,5,10,3,4,0,1,0,0,0,0,0,3
MIMAT0018103,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0
MIMAT0018104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
MIMAT0018106,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
MIMAT0018107,0,0,0,0,0,1,1,0,0,4,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,2,0,0,1,2,0,0,0,0,0,1,0,0,1,2,0,0,1,2,0,2,0,0,1
MIMAT0018108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0018110,2,3,1,2,0,5,6,5,5,10,3,0,1,0,3,0,6,1,5,3,1,2,6,0,2,1,4,4,1,1,4,1,3,6,1,3,9,1,7,3,2,0,4,0,6,5,4,1,2,2,6,2,6,2,2,6
MIMAT0018112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,1,1,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,2,0,1,0
MIMAT0018116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0018119,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,5,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,5,0,0,4,8,1,2,0,1,0,0,0,6,0
MIMAT0018120,0,0,0,0,0,1,1,0,0,4,2,0,1,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4
MIMAT0018121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIMAT0018122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018183,0,2,2,1,0,4,0,0,1,6,1,0,0,2,0,0,0,0,2,0,2,4,0,1,2,0,2,0,0,0,1,0,1,1,1,0,3,0,3,0,1,1,3,0,1,0,3,0,1,0,1,0,0,2,0,0
MIMAT0018184,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
MIMAT0018185,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,4,1,0,5,0,7,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
MIMAT0018186,0,0,0,0,0,1,0,1,0,6,0,2,0,0,0,1,0,1,0,3,1,2,2,0,1,0,0,1,1,0,4,0,1,0,0,0,0,1,1,2,0,0,3,2,1,1,2,0,0,0,1,0,0,4,1,2
MIMAT0018187,1,3,4,1,10,20,2,19,3,33,3,2,1,3,1,4,5,3,8,5,7,18,9,2,4,0,1,2,6,4,10,2,11,6,3,2,24,5,19,3,3,5,9,7,8,8,7,12,2,2,12,3,5,3,6,1
MIMAT0018188,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIMAT0018191,0,0,0,8,2,0,5,5,1,2,0,1,1,1,1,4,0,0,3,1,8,2,6,0,1,0,4,0,3,1,9,2,9,0,1,2,0,2,1,6,1,0,3,0,5,7,7,2,1,1,3,0,0,1,2,2
MIMAT0018192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018193,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0018194,1,15,1,26,0,19,7,15,7,4,6,15,6,5,3,61,34,6,42,8,118,19,146,67,4,0,5,38,1,15,44,5,20,20,8,8,33,9,15,31,10,15,10,4,17,12,2,8,39,49,6,14,7,3,36,3
MIMAT0018195,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
MIMAT0018196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MIMAT0018197,0,1,1,1,0,1,0,4,1,9,1,3,0,0,1,0,3,0,1,5,3,1,7,0,1,0,0,1,1,4,1,0,1,0,0,0,2,1,3,0,3,0,2,1,4,8,2,3,0,2,4,1,1,0,1,1
MIMAT0018198,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0018200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
MIMAT0018201,2,2,1,0,1,0,1,3,1,0,1,1,0,1,0,0,2,0,3,2,0,1,2,0,1,2,1,5,0,1,1,0,1,1,1,1,5,0,2,6,2,1,3,0,2,3,2,1,0,2,1,0,0,2,0,1
MIMAT0018202,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0
MIMAT0018203,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MIMAT0018204,1,1,1,3,0,5,1,1,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,5,1,0,0,1,1,0,1,1,1,4,0,0,1,0,1,0,0,2,0,3,0,1,0
MIMAT0018205,1,8,0,7,2,12,9,3,5,17,3,4,6,3,9,7,1,2,11,0,3,7,6,0,3,2,2,4,12,2,12,2,13,7,4,1,18,3,6,5,7,5,8,0,8,7,6,19,1,0,11,6,3,4,9,14
MIMAT0018206,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
MIMAT0018349,0,5,2,2,2,1,1,0,0,2,2,0,3,0,0,1,2,0,2,3,8,0,1,5,1,4,1,0,3,1,5,1,2,8,0,0,2,6,7,4,3,0,4,0,4,4,1,1,0,0,5,1,1,3,1,2
MIMAT0018350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018354,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018355,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018356,0,0,1,1,1,2,0,1,2,19,3,2,2,1,0,0,0,1,1,0,2,2,1,5,4,1,0,1,1,0,1,0,2,2,1,1,2,1,1,0,1,0,5,1,3,1,3,0,1,0,5,0,0,1,5,1
MIMAT0018358,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0018359,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018360,0,0,0,1,0,0,0,1,2,9,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,6,0,1,0,1,1,1,0,2,1,4,1,1,1,1,0,0,0,2,0,1,0,1,3
MIMAT0018443,5,5,0,0,8,1,1,8,2,0,0,1,0,0,12,0,22,6,23,10,2,1,3,0,1,0,6,3,0,5,15,0,0,0,3,1,13,0,19,3,0,0,3,0,1,4,0,1,0,1,2,23,16,0,0,9
MIMAT0018445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MIMAT0018926,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0,2,0,2,0,1,0,1,2,0,0,2,0,0,4,0,0,0,0,4,1,1,0,2,0,0,2,0,3,0,0,0,0,2,0,1,1
MIMAT0018928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIMAT0018936,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MIMAT0018940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0018942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018945,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018947,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
MIMAT0018949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0018950,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1
